"SrcCode","DstCode","SrcX","SrcY","DstX","DstY","PPP"
3001,3001,35.67,57.42,35.67,57.42,23.8
28003,28003,34.29,53.21,34.29,53.21,57.1
29008,29016,37.5,65.61,40.71,70.42,9.5
28015,24019,52.94,62.16,37.56,52.53,11.9
5030,5030,38.42,65.38,38.42,65.38,20.6
9044,9004,33.33,59.23,50.8,52.42,16.2
4027,5035,33.01,63.51,41.14,66.67,38.1
29033,29011,46.58,61.72,47.48,64.23,21.4
28011,28032,32.95,62.63,43.93,63.16,50
34018,34024,45.26,62.34,43.19,60.09,11.9
26036,26003,29.73,33.33,36.9,43.92,50
27047,27048,55.34,63.33,54.25,66.67,28.6
21002,21011,45.9,60.27,49.41,59.91,2.40000000000001
27007,28005,37.99,68.2,47.45,53.9,22.2
3036,20030,36.43,51.52,49.11,57.52,7.2
2005,1037,37.13,61.71,45.63,56.69,21.4
34012,34035,44.76,62.42,42.47,63.36,23.8
24038,24023,28.26,49.26,39.33,64.29,21.5
20023,20035,40.16,69.58,40,54.79,33.3
34009,9031,42.35,56.9,42.79,54.21,19.1
16014,16025,40.52,56.58,47.75,63.64,64.3
46020,46035,48.54,77.29,61.13,65.67,2.40000000000001
40031,40013,42.46,64.95,37.29,59.09,45.2
1024,1014,36.47,44.44,50.91,58.7,7.1
34016,34041,40.82,55.36,47.49,50.34,23.8
6012,6017,40.67,61.29,46.02,52.72,14.3
24028,24011,31.9,59.91,34.91,64.58,47.6
28033,28024,38.42,60.32,40.56,71.59,7.1
27014,27004,30.84,59.92,31.58,50.38,7.2
22019,22014,28.57,63.41,24.46,35.9,31.5
3037,3004,40.45,57,39.38,55.49,11.9
7037,28005,41.75,67,47.45,53.9,8.3
16009,16030,48.1,56.48,40.57,61.61,16.6
1024,1014,36.47,44.44,50.91,58.7,7.1
28007,28044,40.36,57.26,40,65.5,4.8
28035,24026,26.6,63.49,40.98,60.22,45.3
21046,21036,42.28,64.14,45.52,66.1,16.6
9003,6026,36.11,70.73,39.49,60,23.8
28037,28009,40.18,68.7,42.78,63.43,7.1
16003,15020,44.64,63.69,37.95,57.32,4.7
27025,27043,32.77,58.51,36.71,52.54,14.3
7042,7039,49.77,63.4,46.19,62.37,19.1
29002,29003,43.82,41.77,45.22,62.54,48.1
3035,3035,39.67,56.64,39.67,56.64,0
27015,27023,45.93,56.6,50.28,48.57,14.3
29003,29003,45.22,62.54,45.22,62.54,31.4
20014,20016,50.89,63.79,39.38,60.7,14.3
46012,47039,47.49,68.21,58.3,75.47,26.2
3018,4014,46.11,51.55,37.46,61.9,16.7
6015,6028,37.56,62.8,38.97,53.72,2.3
5016,20009,47.01,59.09,42.81,55.4,19
3018,4014,46.11,51.55,37.46,61.9,21.5
4038,4035,46.37,57.86,43.11,55.97,7.6
29008,29011,37.5,65.61,47.48,64.23,23.8
4027,5027,33.01,63.51,41.95,63.55,35.7
34018,34039,45.26,62.34,41.71,56.47,35.7
40031,47036,42.46,64.95,47.65,67.69,14.2
22019,22013,28.57,63.41,14.02,31.1,7.2
34018,9022,45.26,62.34,47.84,55.99,31
40031,46040,42.46,64.95,53.58,66.96,23.8
