"SrcLat","SrcLon","DstLat","DstLon"
41.80214349,-87.6257474,41.80910779,-87.62711401
41.87963,-87.706712,41.87974117,-87.70808199
41.88037642,-87.76327497,41.87799914,-87.7662615
41.87576191,-87.71584573,41.87084922,-87.73355414
41.76772772,-87.59039017,41.76772772,-87.59039017
41.66737294,-87.62242272,41.67058298,-87.62258098
41.80434474,-87.59039494,41.7934746,-87.58686328
41.88983589,-87.76633519,41.885506,-87.76655157
41.87186209,-87.68875632,41.87384239,-87.70224149
41.70485072,-87.62360199,41.70536999,-87.62985093
41.89940402,-87.69494543,41.89674048,-87.68890154
41.90825367,-87.63986347,41.90205805,-87.64101894
41.74124549,-87.64007166,41.73536767,-87.63887904
41.89551132,-87.66123981,41.86471954,-87.66648084
41.80169919,-87.63297392,41.7907728,-87.6322812
41.89986912,-87.66419014,41.89179703,-87.66538928
41.7065956,-87.64754034,41.70196704,-87.64768959
41.85570712,-87.70299144,41.86183983,-87.7031756
41.78383382,-87.62365383,41.779797,-87.61717494
41.68086831,-87.62505762,41.68544575,-87.62166148
41.78857298,-87.65634499,41.7849277,-87.64748868
41.96434608,-87.65605252,41.95997841,-87.64971223
41.97621644,-87.6697616,41.975867,-87.68325438
41.90672216,-87.69300325,41.90531549,-87.68572005
41.67666008,-87.63570683,41.68663682,-87.63359476
41.76644232,-87.63209571,41.75733472,-87.63270008
41.86356038,-87.72158636,41.86049033,-87.73177486
41.88431659,-87.73936153,41.88409703,-87.73052949
41.87822115,-87.69755292,41.882977,-87.69922315
41.85094816,-87.71726618,41.8485071,-87.71598119
41.80557578,-87.62012252,41.81434006,-87.61658079
41.72782129,-87.56439326,41.86471954,-87.66648084
41.7811649,-87.65468845,41.77427377,-87.65354234
41.90672216,-87.69300325,41.90531549,-87.68572005
41.87778081,-87.73273021,41.87863685,-87.73583687
41.87019518,-87.70216173,41.87071468,-87.71867323
41.73409818,-87.64675679,41.72966698,-87.65544435
41.65743243,-87.60649623,41.76728177,-87.64825544
41.87877166,-87.72464875,41.87474954,-87.73051772
41.78125258,-87.67555599,41.78230211,-87.66777712
41.87984242,-87.68031236,41.88401623,-87.68472465
41.71440176,-87.56716721,41.72050221,-87.57759489
41.87358321,-87.74931216,41.87382439,-87.75571809
41.82732778,-87.61978251,41.82390751,-87.61978794
41.89321142,-87.71883334,41.88845002,-87.71752405
41.87378243,-87.75920297,41.87382439,-87.75571809
41.78517099,-87.60866927,41.78290934,-87.60259685
41.9623189,-87.66388983,41.9580169,-87.6718933
41.84403809,-87.62859008,41.84379445,-87.61776768
41.77275433,-87.63729464,41.77256081,-87.64612737
41.77350389,-87.60105531,41.77812652,-87.59815597
41.84403809,-87.62859008,41.84379445,-87.61776768
41.83649005,-87.61837372,41.83803465,-87.61334083
41.88037642,-87.76327497,41.885506,-87.76655157
41.80434474,-87.59039494,41.79234967,-87.59471544
41.70485072,-87.62360199,41.69628998,-87.62713349
41.97621644,-87.6697616,41.96784758,-87.67632505
41.85094816,-87.71726618,41.84544296,-87.71496352
41.70485072,-87.62360199,41.70036107,-87.61128176
41.97621644,-87.6697616,41.97095968,-87.65472193
